pp,r1,s1
99.25,100.5,97.5
102.6858835747635,104.11625648842282,100.59445623929474
106.00309236476774,107.39278716644749,103.86703513059089
108.93999932460987,110.04907143793704,107.11512486962047
111.82033779671532,113.48777880883634,110.73664382213329
113.16936957727522,115.0391809023547,111.88725405911815
113.59241952863388,115.88215063469261,112.02058236567856
112.97312858671218,115.30538981324779,111.38648051333264
111.41036194567735,113.38172540477936,110.09681514604341
109.13129843961424,110.49720502713235,108.26959532721722
105.93724566302721,107.07544673027837,104.13479794609636
103.19468714218725,104.66958511703675,100.97274710886849
100.73788556021526,102.28844529407355,98.4736760993349
98.84415730000258,100.20211299874761,96.90642701067021
97.61148125753598,98.87586205817712,95.75548067458189
97.19141919443507,98.44462276334197,95.21829168553528
98.48350114468982,100.41823724231372,97.29355947935377
99.8701262670947,101.80746791358526,98.5873188986634
101.98212313628511,103.70870267174067,100.76394936263485
104.8254268723964,106.99249405186748,103.3257521334745
107.99920670201082,110.28787206385834,106.45819317908703
111.26162582273436,113.2779860561967,109.95670229705776
113.82531099154654,114.69119322432022,112.38364916958646
116.74498633735749,117.879915498178,115.01453932224099
119.1538057799276,120.6585703968869,116.92714940457292
121.00914737747458,122.62390626911443,118.65048198446769
122.20610596022017,123.63664165934762,120.12436205549115
122.64513494082007,123.71150378040258,121.06616042928587
122.14237501927037,123.21647998589984,120.39777914762388
121.68125023494567,123.72919137198745,120.38150069936285
119.85561076366399,122.00836449417844,118.41202094278356
117.51965254789604,119.43828718638532,116.17278107223869
115.03525638832207,117.01255843043465,113.65734326698984
112.63773801197561,114.79842864561428,111.20084422029188
110.51030959880836,112.50526529642408,109.25830351262861
108.26940272744443,109.35088178274958,106.540084289673
107.60207833614736,108.70743971746646,105.97991493669689
107.74794108755447,109.22801528502319,105.5943257230227
108.93803183752519,110.55537593682273,106.57202654475822
111.12884068832828,112.58699613595853,108.9638532655492
114.14636656555048,115.20199726707263,112.52300941695138
118.20907981363631,119.75694131555092,117.26445019903183
121.97291442834978,124.06087568859328,120.61059182015883
125.58660227166432,127.88230821801861,124.03282035834349
128.74292994082526,130.85398225680115,127.2763063859608
131.23499339252444,132.97412974737856,130.01685065159327
133.04164438675528,134.99941680765968,131.76041433014595
133.89857677557075,135.80218062803974,132.74403340529048
133.0922674800085,134.36101932912442,131.119074067261
132.27242827286773,133.52113889464036,130.4600470678841
130.70375416195242,132.10992406894522,128.6905385875856
128.637039841295,130.19482239926455,126.35184061536711
126.38366183377089,127.81836657911286,124.20812703231047
124.16985797315824,125.23239149207069,122.46634714843323
122.68443917750632,124.14345676749355,121.75060086176721
121.07933688479505,123.13551448966716,119.70265292811585
119.98032727470522,122.33510359467938,118.37494030945801
119.49766926250228,121.73997527765448,117.95735659826684
119.72723331910679,121.50025387879435,118.51380947735645
120.84874969892996,122.54498226119694,119.76334631937557
122.04843661384999,123.21925791926213,120.14848492145892
124.6025521206855,126.01658209372069,122.44885415766232
127.75414920753644,129.16774937502385,125.70306304765896
131.24131401643615,132.53358469377488,129.41968552339065
134.67484051577156,136.11554347254713,132.55174337464777
137.946708918021,139.30504641529893,135.83872370264007
141.4931197632729,143.24847820983604,140.43724934589036
143.5145158999682,145.14879826955396,142.43573953343068
144.7295048206305,146.69024336708017,143.38334763780378
144.97609002104508,147.30221144626717,143.3807479204221
144.18762156950126,146.4855630800217,142.6281182221707
142.48509527224925,144.36387619886287,141.24027015356899
140.1432507898188,141.54105277691102,139.278976859638
136.88600988144026,138.09546731469894,134.9913092954812
134.16901101832457,135.67647129320275,131.91171524417607
131.78967040161683,133.32518118214094,129.5572333143467
130.0118158199836,131.31645203465825,128.15578001020836
128.89094109224055,130.1664274710646,126.99715356415516
128.63134144530386,129.86320743341284,126.6671124425755
130.07774871998475,132.03463449580025,128.85800386759882
